Date,Open,High,Low,Close,Adj Close,Volume
2023-09-19,147.604996,147.889999,147.514999,147.604996,147.604996,0
2023-09-20,147.742004,148.162994,147.623001,147.742004,147.742004,0
2023-09-21,148.320999,148.447998,147.324997,148.320999,148.320999,0
2023-09-22,147.643997,148.404007,147.529007,147.643997,147.643997,0
2023-09-25,148.434006,148.944000,148.285004,148.434006,148.434006,0
2023-09-26,148.811005,149.175995,148.707993,148.811005,148.811005,0
2023-09-27,149.044998,149.494995,148.865997,149.044998,149.044998,0
2023-09-28,149.498001,149.542007,149.164001,149.498001,149.498001,0
2023-09-29,149.337006,149.445999,148.531006,149.337006,149.337006,0
2023-10-02,149.539993,149.863998,149.464996,149.539993,149.539993,0
2023-10-03,149.850998,150.141998,148.712006,149.850998,149.850998,0
2023-10-04,149.192001,149.306000,148.740005,149.192001,149.192001,0
2023-10-05,148.966003,149.100006,148.306000,148.966003,148.966003,0
2023-10-06,148.462997,149.488007,148.464996,148.462997,148.462997,0
2023-10-09,149.160004,149.218002,148.522995,149.160004,149.160004,0
2023-10-10,148.326996,149.093002,148.188995,148.326996,148.326996,0
2023-10-11,148.628006,149.179993,148.438004,148.628006,148.628006,0
2023-10-12,149.035995,149.781998,148.957993,149.035995,149.035995,0
2023-10-13,149.789993,149.822998,149.455994,149.789993,149.789993,0
2023-10-16,149.565994,149.753006,149.378006,149.565994,149.565994,0
2023-10-17,149.578003,149.789001,149.319000,149.578003,149.578003,0
2023-10-18,149.759003,149.878998,149.513000,149.759003,149.759003,0
2023-10-19,149.742004,149.932007,149.707001,149.742004,149.742004,0
2023-10-20,149.802002,149.992004,149.804993,149.802002,149.802002,0
2023-10-23,149.880005,149.988998,149.742004,149.880005,149.880005,0
2023-10-24,149.768997,149.917999,149.335007,149.768997,149.768997,0
2023-10-25,149.854004,149.970001,149.794998,149.854004,149.854004,0
2023-10-26,150.098007,150.772003,150.048004,150.098007,150.098007,0
2023-10-27,150.365997,150.403000,149.554001,150.365997,150.365997,0
