Unnamed: 0.1,Date,Daily_Change,Daily_Change_Open_to_Close,%K,%D,KalmanFilterEst,Short_Moving_Avg,Long_Moving_Avg,RSI,HurstExponent,DaysSincePeak,DaysSinceTrough,PriceChangeSincePeak,PriceChangeSinceTrough,FourierSignalSell,FourierSignalBuy,KalmanFilterEst_1st_Deriv,KalmanFilterEst_2nd_Deriv,Short_Moving_Avg_1st_Deriv,Short_Moving_Avg_2nd_Deriv,Long_Moving_Avg_1st_Deriv,Long_Moving_Avg_2nd_Deriv,CPI_Difference_Change,Interest_Rate_Difference_Change,Currency_Account_difference,FDI_Difference_Change,M2_Difference_Change
678,2006-10-05,0.0254615340133934,-0.0084893364932625,77.2923989272206,79.7670092674335,117.8533671279021,117.86800079345704,117.4472499847412,53.838364377586494,0.6116951652121173,2,1,0.1399993896484375,-0.240005493164034,False,False,-0.5450596313991696,573.5829461836772,2.399902343749716,-520.0042724609943,7.049980163573366,74.99694824204539,0.0007089684509039,0.04,3.2846626917566435,-0.0033698630136986,-3.818400551215684e-05
679,2006-10-06,0.9843051990909624,0.004246824673145,97.99339125553436,83.7560664237974,118.56820687562706,118.0780014038086,117.55025024414064,59.841860876724255,0.6056083835204275,0,2,0.0,-0.1949996948242045,False,False,71.48397477249517,7202.903440389435,21.000061035157103,1860.0158691407387,10.30002593994226,325.0045776368893,0.0007089684509039,0.0549999999999988,3.2812415501565084,-0.0033698630136986,-3.818400551217072e-05
680,2006-10-10,0.571476861403375,0.0,97.68709686125358,95.53931695461635,119.34872268890489,118.66799926757812,117.71474990844726,68.54026362378364,0.5771925839228818,4,1,1.1349945068359233,0.0299987792968607,False,False,51.98346464573831,2591.53479636936,32.39990234374943,580.0018310546307,9.249992370604332,205.0018310545454,0.0007089684509039,-0.0209999999999999,3.267556983755969,-0.0033698630136986,-3.818400551215684e-05
681,2006-10-11,0.058493938242865,0.0,98.38695784145632,95.67050581659034,119.59054404592528,119.05199890136718,117.82924995422364,84.27988888630921,0.5366188779861554,0,2,0.0,0.7099990844726705,False,False,24.182135702039886,-2780.1328943698422,38.399963378905966,600.0061035156534,11.45000457763672,220.0012207032387,0.0007089684509039,0.003000000000001,3.264135842155835,-0.0033698630136984,-3.818400551215684e-05
682,2006-10-12,-0.3006519264858731,-0.0083468406666369,88.6177365731015,94.8972637586038,119.46041897193348,119.35799865722656,117.91974983215331,77.07068511899487,0.5392374767559133,1,0,0.060005187988267,0.0,False,False,-13.012507399180606,-3719.464310122049,30.5999755859375,-779.9987792968466,9.04998779296875,-240.00167846679688,0.0007089684509039,0.0069999999999987,3.2607147005557,-0.0033698630136986,-3.818400551215684e-05
683,2006-10-13,0.1842865017295247,-0.0083720112798234,92.7576086656225,93.2541010267268,119.5466838484182,119.47599792480467,118.02624969482422,81.59752650612802,0.50372418263832,0,1,0.0,-0.3600006103515483,False,False,8.626487648473358,2163.899504765396,11.799926757812784,-1880.004882812472,10.649986267090128,159.9998474121378,0.0007089684509039,-0.016,3.257293558955565,-0.0033698630136986,-3.818400551217072e-05
684,2006-10-16,-0.5351165533559077,0.1170563473533122,69.69693077547497,83.69075867139968,119.18409272361816,119.46999816894532,118.07974967956542,68.49591006008906,0.4830613794012523,3,4,0.3699951171874716,0.0099945068359232,False,False,-36.2591124800062,-4488.560012847956,-0.5999755859377842,-1239.9902343750568,5.3499984741208095,-529.9987792969318,0.0007089684509039,-0.0459999999999993,3.2470301341551613,-0.0033698630136984,-3.818400551217072e-05
685,2006-10-17,-0.3110312285050542,0.0,49.99984981512242,70.81812975207332,118.81692096464508,119.25399780273438,118.1292495727539,61.52297224982805,0.434777361555661,4,0,-0.4100036621093892,0.0,False,False,-36.71717589730719,-45.80634173009912,-21.600036621093462,-2100.006103515568,4.949989318848225,-40.000915527258485,0.0007089684509039,-0.0060000000000002,3.243608992555026,-0.0033698630136986,-3.818400551215684e-05
686,2006-10-18,0.2782712212204163,0.0168684316373032,62.09672705570453,60.59783588210066,118.88062618036795,119.08999786376953,118.20224952697754,61.82895920326778,0.42889726491956,0,1,0.0,-0.3499984741210937,False,False,6.370521572287657,4308.769746959484,-16.399993896484943,520.0042724608522,7.299995422363281,235.00061035150569,0.0007089684509039,-0.0049999999999998,3.240187850954892,-0.0033698630136986,-3.818400551215684e-05
687,2006-10-19,-0.5381764207053163,0.0168216219045763,36.29033498534149,49.46230395205617,118.50941803193152,118.86999816894532,118.2982494354248,52.94116822082565,0.4487429385472693,1,0,0.3300018310546733,0.0,False,False,-37.12081484364376,-4349.133641593142,-21.999969482421022,-559.9975585936079,9.599990844726848,229.9995422363565,0.0007089684509039,0.0019999999999997,3.236766709354757,-0.0033698630136986,-3.818400551217072e-05
688,2006-10-20,0.3720007152073767,0.0,54.03234489738812,50.80646897947806,118.63956560005172,118.69399871826172,118.39924964904785,59.49815691893715,0.4271092971522645,2,1,-0.3300018310546875,-0.6600036621093608,False,False,13.014756812019357,5013.557165566312,-17.59994506835909,440.0024414061932,10.100021362303837,50.00305175769881,0.0007089684509039,0.0410000000000003,3.2333455677546223,-0.0033698630136984,-3.818400551215684e-05
689,2006-10-23,0.4885460117006301,-0.0842305197884728,77.0493033494252,55.79066107738496,119.04773839264944,118.76199951171876,118.54049987792968,60.831852416010726,0.4303183381995458,5,4,0.0100021362304829,-0.3199996948241903,False,False,40.81727925977248,2780.252244775312,6.800079345703125,2440.002441406222,14.125022888184446,402.5001525880612,0.0007089684509039,0.0149999999999996,3.223082142954218,-0.0033698630136986,-3.818400551217072e-05
690,2006-10-24,0.0335232901171655,0.0167616450585881,78.68837081321747,69.92333968667695,119.2283637362907,118.91199951171876,118.6504997253418,63.62001851287198,0.4498730384804862,0,5,0.0,0.3799972534179829,False,False,18.062534364126748,-2275.4744895645727,14.999999999999147,819.9920654296022,10.999984741211222,-312.50381469732247,0.0007089684509039,-0.008,3.219661001354083,-0.0033698630136984,-3.818400551215684e-05
691,2006-10-25,-0.3351717016580768,0.0502808696410438,56.19053155120138,70.64273523794805,119.05014665501216,118.91600036621094,118.7254997253418,59.15969015706255,0.4636606036348951,1,6,0.0800018310546875,0.4599990844726704,True,False,-17.821708127853242,-3588.424249197999,0.4000854492190342,-1459.9914550780113,7.499999999998863,-349.99847412123586,0.0007089684509039,-0.0099999999999997,3.2162398597539483,-0.0033698630136986,-3.818400551215684e-05
