,Date,Open,High,Low,Close,Adj Close,Volume,Daily_Change,Daily_Change_Open_to_Close,%K,%D,Slow %K,Slow %D,KalmanFilterEst,isLocalPeak,isLocalTrough,Label,Short_Moving_Avg,Long_Moving_Avg,RSI,BBand_Upper,BBand_Middle,BBand_Lower,Bollinger_Bandwidth,Bollinger_PercentB,HurstExponent,DaysSincePeak,DaysSinceTrough,PriceChangeSincePeak,PriceChangeSinceTrough,FourierSignalSell,FourierSignalBuy,KalmanFilterEst_1st_Deriv,KalmanFilterEst_2nd_Deriv,Short_Moving_Avg_1st_Deriv,Short_Moving_Avg_2nd_Deriv,Long_Moving_Avg_1st_Deriv,Long_Moving_Avg_2nd_Deriv,Interest_Rate_Difference,Interest_Rate_Difference_Change,Currency_Account_difference,DataAge,Weight
3329,2018-01-29,108.64800262451172,109.18900299072266,108.51100158691406,108.63899993896484,108.63899993896484,0,-0.9707963413345899,-0.962589999403997,6.833593439475291,16.83575355054934,16.83575355054934,20.434005909852143,109.05126932286507,False,True,Buy,109.74840087890625,111.30444984436035,21.133702898536725,113.86695568516593,111.30444984436035,108.74194400355476,0.04604498462350423,-0.02008660096508445,0.5157680065477905,3,0,-1.0139999389648438,0.0,False,False,-66.70658756715397,-6438.748887251506,-40.899963378906534,-1445.9991455079546,-20.135002136230185,-428.00140380848006,-1.952,0.8099999999999996,-0.37473993286577895,1798,9.055784454378993e-40
3330,2018-01-30,108.95800018310548,109.19499969482422,108.4250030517578,108.9260025024414,108.9260025024414,0,0.26418004918842275,0.2936332664327348,16.69033539085802,17.266708623242554,17.266708623242554,19.01763945758283,108.97385017018061,True,False,Sell,109.34040069580078,111.1122501373291,25.13323410555296,113.78067854042507,111.1122501373291,108.44382173423313,0.048031218876369276,0.09034920473205187,0.5419864258546528,0,1,0.0,0.3099975585937642,False,False,-7.741915268445609,5896.4672298708365,-40.80001831054716,9.9945068359375,-19.219970703125,91.50314331051845,-2.033,0.2499999999999991,-0.36346273064199514,1797,9.520084451899932e-40
3331,2018-01-31,108.75599670410156,109.4209976196289,108.5999984741211,108.73200225830078,108.73200225830078,0,-0.1781027850868533,-0.15607457763451232,11.877737451773118,11.800555427368755,11.800555427368755,15.301005867053517,108.82437994053069,False,True,Buy,109.06540069580078,110.93665008544922,29.398448393973197,113.74273482763108,110.93665008544922,108.13056534326735,0.05058895757210035,0.10716656307496002,0.5620034795563681,1,0,-0.20200347900392046,0.0,False,False,-14.94702296499213,-720.510769654652,-27.50000000000057,1330.001831054659,-17.56000518798828,165.99655151367188,-2.058,-0.09999999999999787,-0.3521855284182114,1796,1.0008189619341152e-39
3332,2018-02-01,109.1790008544922,109.74400329589844,109.11399841308594,109.20099639892578,109.20099639892578,0,0.43133036353995013,0.41110122770437246,27.565255869138483,18.711109570589816,18.711109570589816,15.926124540400343,109.05714171254147,False,False,Hold,109.04040069580078,110.76634979248047,34.83554995411994,113.55966078282782,110.76634979248047,107.97303880213312,0.05043609355333254,0.21980323727576886,0.5526888599651104,2,1,0.22100067138671875,0.4230041503906392,False,False,23.27617720107753,3822.320016606966,-2.4999999999991473,2500.000000000142,-17.030029296874716,52.99758911135655,-2.048,-0.08000000000000007,-0.34090832619442757,1795,1.0521320473864035e-39
3333,2018-02-02,109.38700103759766,110.46700286865234,109.3040008544922,109.40599822998048,109.40599822998048,0,0.18772890158054167,0.1703323639945329,34.09813665804444,24.513709992985287,24.513709992985287,18.34179166364792,109.2727468975157,False,False,Hold,108.98079986572266,110.59749984741211,37.74597890442553,113.28920619280794,110.59749984741211,107.90579350201628,0.048675717789452594,0.27867169287064075,0.5487223698010675,3,2,0.4290008544921733,0.6310043334960938,False,False,21.560518497423686,-171.5658703653844,-5.9600830078125,-346.00830078133527,-16.884994506835938,14.503479003877828,-2.04,-0.29999999999999805,-0.32963112397064376,1794,1.1060760109882523e-39
3334,2018-02-05,110.02200317382812,110.25399780273438,109.66899871826172,110.03500366210938,110.03500366210938,0,0.5749277391598584,0.5630449461763043,54.14292105109623,38.602104526092994,38.602104526092994,27.275641363222665,109.74384748618913,True,False,Sell,109.26000061035157,110.44155006408691,46.11225011978607,112.87139454108411,110.44155006408691,108.01170558708971,0.044002360988001636,0.4163431228158385,0.5231633153548726,0,5,0.0,1.2660064697265625,False,False,47.110058867342275,2554.9540369918586,27.92007446289091,3388.0157470703407,-15.594978332519815,129.0016174316122,-2.0100000000000002,0.20000000000000018,-0.2957995172992924,1791,1.2850769846264452e-39
3335,2018-02-06,109.01300048828124,109.6259994506836,108.47100067138672,109.09500122070312,109.09500122070312,0,-0.8542758305282283,-0.9287982367560612,24.187462314979044,37.476173341373176,37.476173341373176,33.53066262015045,109.34283844064534,False,True,Buy,109.2938003540039,110.23925018310547,41.678500091328644,112.39463349783638,110.23925018310547,108.08386686837456,0.03910373684782612,0.2345602161383538,0.5002978858418987,1,0,-1.0090026855468892,0.0,False,False,-40.10090455437876,-8721.096342172103,3.3799743652338066,-2454.0100097657105,-20.229988098144247,-463.50097656244316,-2.0300000000000002,0.3999999999999959,-0.2845223150755086,1790,1.3509642905558535e-39
3336,2018-02-07,109.61900329589844,109.6510009765625,108.9260025024414,109.6269989013672,109.6269989013672,0,0.4876462484177724,0.4803172183253726,45.71522742254527,41.348536929540124,41.348536929540124,39.142271599002065,109.51845926363028,True,False,Sell,109.4727996826172,110.08285026550293,38.04188275208069,111.91506399718283,110.08285026550293,108.25063653382303,0.033287905014466504,0.3756009311976477,0.5077652925790975,0,1,0.0,0.6060028076172017,False,False,17.56208229849392,5766.298685287267,17.899932861328693,1451.9958496094887,-15.63999176025419,458.99963378900566,-2.07,0.0,-0.2732451128517248,1789,1.4202297108975054e-39
3337,2018-02-08,109.13099670410156,109.7760009765625,108.89700317382812,109.1959991455078,109.1959991455078,0,-0.39315110344959603,-0.45244529380203014,30.45322411575895,33.45197128442769,33.45197128442769,37.425560518446964,109.31916795061429,False,False,Hold,109.4718002319336,109.97045021057129,37.62513542795235,111.72920749857326,109.97045021057129,108.21169292256931,0.031985997777299394,0.27983003386917055,0.5253068985986544,1,2,-0.488006591796875,0.11799621582032671,False,False,-19.929131301599057,-3749.121360009298,-0.099945068359375,-1799.9877929688068,-11.240005493164062,439.9986267090128,-2.07,-0.20000000000000018,-0.261967910627941,1788,1.49304644528102e-39
3338,2018-02-09,108.5770034790039,109.28600311279295,108.44400024414062,108.52899932861328,108.52899932861328,0,-0.6108280725612647,-0.5668666172274837,6.8342933097036145,27.667581616002554,27.667581616002554,34.156029943323425,108.83081688537399,False,True,Buy,109.29640045166016,109.83220024108887,36.04099044426093,111.58775570316386,109.83220024108887,108.07664477901388,0.03196795581298445,0.1288351633917453,0.5263300683484285,2,0,-1.0419998168945312,0.0,False,False,-48.83510652402947,-2890.5975222430416,-17.53997802734375,-1744.0032958984375,-13.824996948241619,-258.49914550775566,-2.05,0.6000000000000005,-0.2506907084041572,1787,1.569596573470899e-39
