Date,PX_LAST,PX_BID
6/1/2016,2.1702,2.172
5/1/2016,2.2357,2.2374
4/1/2016,2.2428,2.2445
1/1/2016,2.2694,2.2712
31/12/2015,2.2694,2.2712
30/12/2015,2.2943,2.2961
29/12/2015,2.305,2.3068
28/12/2015,2.2304,2.2322
25/12/2015,2.241,2.2428
24/12/2015,2.241,2.2428
23/12/2015,2.2534,2.2552
22/12/2015,2.2357,2.2375
21/12/2015,2.1917,2.1934
18/12/2015,2.204,2.2058
17/12/2015,2.2234,2.2252
16/12/2015,2.296,2.2977
15/12/2015,2.2658,2.2676
14/12/2015,2.2217,2.2234
11/12/2015,2.127,2.1288
10/12/2015,2.2305,2.2323
9/12/2015,2.2164,2.2182
8/12/2015,2.2182,2.22
7/12/2015,2.2288,2.2305
4/12/2015,2.2693,2.2711
3/12/2015,2.3136,2.3153
2/12/2015,2.1797,2.1815
1/12/2015,2.1431,2.1448
30/11/2015,2.206,2.2078
27/11/2015,2.2201,2.2218
26/11/2015,2.2341,2.2359
25/11/2015,2.2341,2.2359
24/11/2015,2.2377,2.2394
23/11/2015,2.2377,2.2394
20/11/2015,2.2623,2.264
19/11/2015,2.2482,2.25
18/11/2015,2.2728,2.2746
17/11/2015,2.2658,2.2676
16/11/2015,2.2676,2.2693
13/11/2015,2.2658,2.2676
12/11/2015,2.3116,2.3133
11/11/2015,2.3301,2.335
10/11/2015,2.3419,2.3438
9/11/2015,2.3436,2.3454
6/11/2015,2.3252,2.327
5/11/2015,2.2323,2.2341
4/11/2015,2.225,2.2268
3/11/2015,2.2105,2.2123
2/11/2015,2.1709,2.1727
30/10/2015,2.1421,2.1439
29/10/2015,2.1725,2.1743
28/10/2015,2.1009,2.1027
27/10/2015,2.037,2.0387
26/10/2015,2.0564,2.0582
23/10/2015,2.0866,2.0884
22/10/2015,2.0263,2.0281
21/10/2015,2.0228,2.0246
20/10/2015,2.067,2.0688
19/10/2015,2.0228,2.0245
16/10/2015,2.0334,2.0351
15/10/2015,2.0175,2.0192
14/10/2015,1.9718,1.9735
13/10/2015,2.0439,2.0457
12/10/2015,2.0881,2.0899
9/10/2015,2.0881,2.0899
8/10/2015,2.104,2.1058
7/10/2015,2.0668,2.0686
6/10/2015,2.0315,2.0333
5/10/2015,2.0562,2.0579
2/10/2015,1.9929,1.9946
1/10/2015,2.0368,2.0385
30/9/2015,2.0368,2.0385
29/9/2015,2.0508,2.0526
28/9/2015,2.0949,2.0967
25/9/2015,2.1623,2.164
24/9/2015,2.1266,2.1284
23/9/2015,2.1497,2.1514
22/9/2015,2.1337,2.1354
21/9/2015,2.2012,2.203
18/9/2015,2.1336,2.1354
17/9/2015,2.1903,2.1921
16/9/2015,2.294,2.2958
15/9/2015,2.2867,2.2885
14/9/2015,2.1831,2.1848
11/9/2015,2.1883,2.1901
10/9/2015,2.222,2.2238
9/9/2015,2.2006,2.2024
8/9/2015,2.1828,2.1846
7/9/2015,2.1244,2.1262
4/9/2015,2.1244,2.1262
3/9/2015,2.1596,2.1613
2/9/2015,2.1843,2.1861
1/9/2015,2.1524,2.1542
31/8/2015,2.2179,2.2197
28/8/2015,2.1807,2.1824
27/8/2015,2.1841,2.1858
26/8/2015,2.1752,2.1769
25/8/2015,2.0714,2.0732
24/8/2015,2.0034,2.0052
21/8/2015,2.0365,2.0382
20/8/2015,2.0679,2.0696
19/8/2015,2.1256,2.1274
18/8/2015,2.1925,2.1943
17/8/2015,2.1678,2.1695
14/8/2015,2.1977,2.1995
13/8/2015,2.1854,2.1871
12/8/2015,2.148,2.1498
11/8/2015,2.1409,2.1427
10/8/2015,2.2269,2.2287
7/8/2015,2.1623,2.1641
6/8/2015,2.2214,2.2232
5/8/2015,2.2699,2.2717
4/8/2015,2.2213,2.2231
3/8/2015,2.148,2.1498
31/7/2015,2.1801,2.1819
30/7/2015,2.2589,2.2607
29/7/2015,2.2859,2.2877
28/7/2015,2.2499,2.2517
27/7/2015,2.2175,2.2193
24/7/2015,2.2624,2.2642
23/7/2015,2.2677,2.2695
22/7/2015,2.3235,2.3253
21/7/2015,2.3253,2.3271
20/7/2015,2.3723,2.3741
17/7/2015,2.3469,2.3487
16/7/2015,2.3503,2.3521
15/7/2015,2.3521,2.3539
14/7/2015,2.401,2.4028
13/7/2015,2.4538,2.4556
10/7/2015,2.3972,2.3991
9/7/2015,2.3211,2.3229
8/7/2015,2.1922,2.194
7/7/2015,2.2582,2.26
6/7/2015,2.285,2.2868
3/7/2015,2.3823,2.3841
2/7/2015,2.3823,2.3841
1/7/2015,2.4219,2.4237
30/6/2015,2.3531,2.3549
29/6/2015,2.3242,2.326
26/6/2015,2.4726,2.4744
25/6/2015,2.4088,2.4106
24/6/2015,2.3672,2.369
23/6/2015,2.4087,2.4105
22/6/2015,2.3725,2.3743
19/6/2015,2.2577,2.2595
18/6/2015,2.3345,2.3363
17/6/2015,2.3165,2.3183
16/6/2015,2.3093,2.3111
15/6/2015,2.3559,2.3577
12/6/2015,2.3918,2.3936
11/6/2015,2.3772,2.379
10/6/2015,2.4838,2.4857
9/6/2015,2.4384,2.4402
8/6/2015,2.3824,2.3842
5/6/2015,2.4076,2.4094
4/6/2015,2.307,2.3088
3/6/2015,2.3642,2.366
2/6/2015,2.2624,2.2642
1/6/2015,2.1794,2.1811
29/5/2015,2.1214,2.1232
28/5/2015,2.1355,2.1372
27/5/2015,2.1285,2.1302
26/5/2015,2.139,2.1407
25/5/2015,2.2092,2.211
22/5/2015,2.2092,2.211
21/5/2015,2.1898,2.1915
20/5/2015,2.2479,2.2497
19/5/2015,2.2886,2.2904
18/5/2015,2.2337,2.2355
15/5/2015,2.1424,2.1442
14/5/2015,2.2301,2.2319
13/5/2015,2.2926,2.2945
