Date,PX_BID,PX_LAST
7/9/2012,0.822,0.822
6/9/2012,0.81,0.81
5/9/2012,0.777,0.777
4/9/2012,0.791,0.791
3/9/2012,0.784,0.784
31/8/2012,0.797,0.797
30/8/2012,0.807,0.807
29/8/2012,0.8,0.8
28/8/2012,0.812,0.812
27/8/2012,0.81,0.81
24/8/2012,0.809,0.809
23/8/2012,0.829,0.829
22/8/2012,0.826,0.826
21/8/2012,0.827,0.827
20/8/2012,0.844,0.844
17/8/2012,0.837,0.837
16/8/2012,0.863,0.863
15/8/2012,0.82,0.82
14/8/2012,0.796,0.796
13/8/2012,0.793,0.793
10/8/2012,0.802,0.802
9/8/2012,0.805,0.805
8/8/2012,0.803,0.803
7/8/2012,0.774,0.774
6/8/2012,0.742,0.742
3/8/2012,0.743,0.743
2/8/2012,0.777,0.777
1/8/2012,0.78,0.78
31/7/2012,0.794,0.794
30/7/2012,0.779,0.779
27/7/2012,0.747,0.747
26/7/2012,0.738,0.738
25/7/2012,0.727,0.727
24/7/2012,0.736,0.736
23/7/2012,0.728,0.728
20/7/2012,0.744,0.744
19/7/2012,0.742,0.742
18/7/2012,0.759,0.759
17/7/2012,0.773,0.773
16/7/2012,0.778,0.778
13/7/2012,0.778,0.778
12/7/2012,0.774,0.774
11/7/2012,0.79,0.79
10/7/2012,0.797,0.797
9/7/2012,0.796,0.796
6/7/2012,0.8,0.8
5/7/2012,0.811,0.811
4/7/2012,0.818,0.818
3/7/2012,0.818,0.818
2/7/2012,0.829,0.829
29/6/2012,0.837,0.837
28/6/2012,0.815,0.815
27/6/2012,0.809,0.809
26/6/2012,0.824,0.824
25/6/2012,0.831,0.831
22/6/2012,0.83,0.83
21/6/2012,0.822,0.822
20/6/2012,0.825,0.825
19/6/2012,0.82,0.82
18/6/2012,0.84,0.84
15/6/2012,0.853,0.853
14/6/2012,0.862,0.862
13/6/2012,0.859,0.859
12/6/2012,0.85,0.85
11/6/2012,0.872,0.872
8/6/2012,0.856,0.856
7/6/2012,0.882,0.882
6/6/2012,0.848,0.848
5/6/2012,0.862,0.862
4/6/2012,0.822,0.822
1/6/2012,0.816,0.816
31/5/2012,0.824,0.824
30/5/2012,0.85,0.85
29/5/2012,0.852,0.852
28/5/2012,0.883,0.883
25/5/2012,0.888,0.888
24/5/2012,0.871,0.871
23/5/2012,0.872,0.872
22/5/2012,0.863,0.863
21/5/2012,0.859,0.859
18/5/2012,0.83,0.83
17/5/2012,0.85,0.85
16/5/2012,0.834,0.834
15/5/2012,0.854,0.854
14/5/2012,0.85,0.85
11/5/2012,0.853,0.853
10/5/2012,0.868,0.868
9/5/2012,0.854,0.854
8/5/2012,0.872,0.872
7/5/2012,0.861,0.861
4/5/2012,0.892,0.892
3/5/2012,0.892,0.892
2/5/2012,0.892,0.892
1/5/2012,0.881,0.881
30/4/2012,0.897,0.897
27/4/2012,0.897,0.897
26/4/2012,0.917,0.917
25/4/2012,0.923,0.923
24/4/2012,0.933,0.933
23/4/2012,0.92,0.92
20/4/2012,0.939,0.939
19/4/2012,0.94,0.94
18/4/2012,0.941,0.941
17/4/2012,0.933,0.933
16/4/2012,0.94,0.94
13/4/2012,0.947,0.947
12/4/2012,0.951,0.951
11/4/2012,0.951,0.951
10/4/2012,0.955,0.955
9/4/2012,0.969,0.969
6/4/2012,0.994,0.994
5/4/2012,1.004,1.004
4/4/2012,1.028,1.028
3/4/2012,1.032,1.032
2/4/2012,1.013,1.013
30/3/2012,0.989,0.989
29/3/2012,0.995,0.995
28/3/2012,1.004,1.004
27/3/2012,1.016,1.016
26/3/2012,1.015,1.015
23/3/2012,1.028,1.028
22/3/2012,1.027,1.027
21/3/2012,1.024,1.024
20/3/2012,1.036,1.036
19/3/2012,1.036,1.036
16/3/2012,1.048,1.048
15/3/2012,1.052,1.052
14/3/2012,1.013,1.013
13/3/2012,0.977,0.977
12/3/2012,0.98,0.98
9/3/2012,0.991,0.991
8/3/2012,0.993,0.993
7/3/2012,0.983,0.983
6/3/2012,0.993,0.993
5/3/2012,0.993,0.993
2/3/2012,0.969,0.969
1/3/2012,0.956,0.956
29/2/2012,0.963,0.963
28/2/2012,0.967,0.967
27/2/2012,0.975,0.975
24/2/2012,0.978,0.978
23/2/2012,0.978,0.978
22/2/2012,0.978,0.978
21/2/2012,0.962,0.962
20/2/2012,0.949,0.949
17/2/2012,0.949,0.949
16/2/2012,0.948,0.948
15/2/2012,0.966,0.966
14/2/2012,0.966,0.966
13/2/2012,0.982,0.982
10/2/2012,0.979,0.979
9/2/2012,0.988,0.988
8/2/2012,0.992,0.992
7/2/2012,0.974,0.974
6/2/2012,0.967,0.967
3/2/2012,0.949,0.949
2/2/2012,0.955,0.955
1/2/2012,0.96,0.96
31/1/2012,0.967,0.967
30/1/2012,0.963,0.963
27/1/2012,0.97,0.97
26/1/2012,0.985,0.985
25/1/2012,1.006,1.006
24/1/2012,1.01,1.01
23/1/2012,1.001,1.001
20/1/2012,0.987,0.987
19/1/2012,0.973,0.973
18/1/2012,0.974,0.974
17/1/2012,0.969,0.969
16/1/2012,0.946,0.946
13/1/2012,0.947,0.947
12/1/2012,0.961,0.961
11/1/2012,0.969,0.969
10/1/2012,0.98,0.98
9/1/2012,0.981,0.981
6/1/2012,0.981,0.981
5/1/2012,0.985,0.985
4/1/2012,0.991,0.991
3/1/2012,0.977,0.977
30/12/2011,0.988,0.988
29/12/2011,1,1
28/12/2011,0.998,0.998
27/12/2011,0.984,0.984
26/12/2011,0.977,0.977
23/12/2011,0.978,0.978
22/12/2011,0.978,0.978
21/12/2011,0.98,0.98
20/12/2011,0.979,0.979
19/12/2011,0.973,0.973
16/12/2011,0.986,0.986
15/12/2011,0.982,0.982
14/12/2011,1,1
13/12/2011,1.005,1.005
12/12/2011,1.024,1.024
9/12/2011,1.021,1.021
8/12/2011,1.043,1.043
7/12/2011,1.045,1.045
6/12/2011,1.045,1.045
5/12/2011,1.054,1.054
2/12/2011,1.07,1.07
1/12/2011,1.065,1.065
30/11/2011,1.072,1.072
29/11/2011,1.062,1.062
28/11/2011,1.058,1.058
25/11/2011,1.028,1.028
24/11/2011,0.979,0.979
23/11/2011,0.968,0.968
22/11/2011,0.968,0.968
21/11/2011,0.96,0.96
18/11/2011,0.949,0.949
17/11/2011,0.962,0.962
16/11/2011,0.953,0.953
15/11/2011,0.973,0.973
14/11/2011,0.979,0.979
11/11/2011,0.971,0.971
10/11/2011,0.973,0.973
9/11/2011,0.982,0.982
8/11/2011,0.981,0.981
7/11/2011,0.996,0.996
4/11/2011,0.993,0.993
3/11/2011,0.998,0.998
2/11/2011,0.998,0.998
1/11/2011,1.028,1.028
31/10/2011,1.047,1.047
28/10/2011,1.044,1.044
27/10/2011,1.012,1.012
26/10/2011,0.999,0.999
25/10/2011,1.023,1.023
24/10/2011,1.026,1.026
21/10/2011,1.01,1.01
20/10/2011,1.01,1.01
19/10/2011,1.022,1.022
18/10/2011,1.026,1.026
17/10/2011,1.028,1.028
14/10/2011,1.019,1.019
13/10/2011,1.023,1.023
12/10/2011,1.004,1.004
11/10/2011,0.999,0.999
10/10/2011,0.988,0.988
7/10/2011,0.988,0.988
6/10/2011,0.978,0.978
5/10/2011,0.968,0.968
4/10/2011,0.992,0.992
